Batch ID,BatchType,Time (h),Temperature(T:K),pH(pH:pH),Dissolved oxygen concentration(DO2:mg/L),Agitator RPM(RPM:RPM),carbon dioxide percent in off-gas(CO2outgas:%),Oxygen in percent in off-gas(O2:O2  (%)),Vessel Volume(V:L),Sugar feed rate(Fs:L/h),Penicillin concentration(P:g/L)
23.0,Recipe driven approach,192.6,297.97,6.4947,10.419,100,1.4825,0.19349,72458,80,31.627
23.0,Recipe driven approach,192.8,297.88,6.4991,10.424,100,1.4829,0.19346,72511,80,31.654
23.0,Recipe driven approach,193.0,298.09,6.5045,10.46,100,1.4832,0.19358,72564,80,31.681
23.0,Recipe driven approach,193.2,297.94,6.5087,10.43,100,1.4836,0.19358,72617,80,31.709
23.0,Recipe driven approach,193.4,298.33,6.5117,10.451,100,1.484,0.19362,72670,80,31.736
23.0,Recipe driven approach,193.6,298.09,6.5106,10.428,100,1.4844,0.19364,72721,80,31.764
23.0,Recipe driven approach,193.8,297.92,6.5069,10.419,100,1.4848,0.19367,72772,80,31.792
23.0,Recipe driven approach,194.0,298.06,6.5006,10.384,100,1.4851,0.19346,72822,80,31.82
23.0,Recipe driven approach,194.2,297.93,6.4943,10.374,100,1.4855,0.19344,72873,80,31.849
23.0,Recipe driven approach,194.4,298.25,6.4922,10.388,100,1.4859,0.19335,72924,80,31.877
23.0,Recipe driven approach,194.6,298.05,6.494,10.444,100,1.4863,0.19343,72975,80,31.903
23.0,Recipe driven approach,194.8,297.91,6.4975,10.443,100,1.4866,0.19344,73027,80,31.93
23.0,Recipe driven approach,195.0,298.02,6.5011,10.503,100,1.4869,0.1936,73080,80,31.956
23.0,Recipe driven approach,195.2,297.9,6.5044,10.5,100,1.4873,0.19356,73133,80,31.981
23.0,Recipe driven approach,195.4,298.18,6.5066,10.496,100,1.4876,0.19361,73185,80,32.007
23.0,Recipe driven approach,195.6,298.0,6.5072,10.495,100,1.4879,0.19361,73237,80,32.033
23.0,Recipe driven approach,195.8,297.88,6.5034,10.43,100,1.4883,0.19341,73288,80,32.059
23.0,Recipe driven approach,196.0,297.98,6.5007,10.453,100,1.4886,0.19339,73340,80,32.085
23.0,Recipe driven approach,196.2,297.88,6.4993,10.486,100,1.4889,0.19351,73391,80,32.11
23.0,Recipe driven approach,196.4,298.13,6.4996,10.49,100,1.4892,0.1934,73442,80,32.135
23.0,Recipe driven approach,196.6,297.98,6.499,10.477,100,1.4895,0.19334,73494,80,32.16
23.0,Recipe driven approach,196.8,297.86,6.4983,10.46,100,1.4898,0.19328,73546,80,32.185
23.0,Recipe driven approach,197.0,297.97,6.4976,10.432,100,1.4902,0.19303,73598,80,32.21
23.0,Recipe driven approach,197.2,297.88,6.4977,10.386,100,1.4905,0.19283,73650,80,32.236
23.0,Recipe driven approach,197.4,298.13,6.5002,10.397,100,1.4909,0.19278,73702,80,32.26
23.0,Recipe driven approach,197.6,297.99,6.5023,10.41,100,1.4912,0.19285,73755,80,32.285
23.0,Recipe driven approach,197.8,297.87,6.5055,10.419,100,1.4916,0.19285,73808,80,32.309
23.0,Recipe driven approach,198.0,297.98,6.5083,10.445,100,1.4919,0.1929,73860,80,32.333
23.0,Recipe driven approach,198.2,297.88,6.5114,10.486,100,1.4922,0.19305,73911,80,32.356
23.0,Recipe driven approach,198.4,298.13,6.5075,10.495,100,1.4925,0.19318,73962,80,32.378
23.0,Recipe driven approach,198.6,297.99,6.5031,10.498,100,1.4928,0.19318,74013,80,32.401
23.0,Recipe driven approach,198.8,297.86,6.4991,10.507,100,1.493,0.19309,74063,80,32.422
23.0,Recipe driven approach,199.0,297.98,6.496,10.504,100,1.4933,0.1931,74113,80,32.444
23.0,Recipe driven approach,199.2,297.88,6.4931,10.493,100,1.4935,0.19297,74164,80,32.467
23.0,Recipe driven approach,199.4,298.13,6.4951,10.515,100,1.4938,0.19301,74215,80,32.488
23.0,Recipe driven approach,199.6,297.99,6.4995,10.549,100,1.494,0.19316,74267,80,32.509
23.0,Recipe driven approach,199.8,297.87,6.5059,10.581,100,1.4942,0.19335,74319,80,32.53
23.0,Recipe driven approach,200.0,297.98,6.5109,10.597,100,1.4945,0.19337,74371,80,32.551
23.0,Recipe driven approach,200.2,297.87,6.5108,10.729,100,1.704,0.19195,74441,80,32.564
23.0,Recipe driven approach,200.4,298.12,6.5078,10.744,100,1.7186,0.19185,74510,80,32.576
23.0,Recipe driven approach,200.6,297.98,6.5025,10.735,100,1.7198,0.19179,74578,80,32.588
23.0,Recipe driven approach,200.8,297.86,6.4969,10.72,100,1.7202,0.19174,74646,80,32.601
23.0,Recipe driven approach,201.0,297.98,6.4937,10.746,100,1.7204,0.19171,74715,80,32.614
23.0,Recipe driven approach,201.2,297.87,6.4949,10.795,100,1.7206,0.19179,74784,80,32.625
23.0,Recipe driven approach,201.4,298.13,6.4956,10.786,100,1.7208,0.19182,74854,80,32.637
23.0,Recipe driven approach,201.6,297.98,6.4987,10.817,100,1.721,0.19177,74924,80,32.648
23.0,Recipe driven approach,201.8,297.86,6.5016,10.836,100,1.7211,0.19171,74995,80,32.659
23.0,Recipe driven approach,202.0,297.98,6.505,10.84,100,1.7213,0.19168,75065,80,32.669
23.0,Recipe driven approach,202.2,297.87,6.5056,10.804,100,1.7215,0.19155,75135,80,32.68
23.0,Recipe driven approach,202.4,298.12,6.5074,10.804,100,1.7216,0.19146,75205,80,32.691
23.0,Recipe driven approach,202.6,297.97,6.5059,10.805,100,1.7218,0.19147,75274,80,32.703
23.0,Recipe driven approach,202.8,297.85,6.5032,10.775,100,1.722,0.1914,75343,80,32.715
23.0,Recipe driven approach,203.0,297.96,6.5004,10.825,100,1.7221,0.19145,75412,80,32.726
23.0,Recipe driven approach,203.2,297.86,6.4988,10.802,100,1.7223,0.19142,75481,80,32.738
23.0,Recipe driven approach,203.4,298.1,6.4991,10.847,100,1.7224,0.1915,75550,80,32.75
23.0,Recipe driven approach,203.6,297.97,6.5016,10.904,100,1.7225,0.19162,75619,80,32.759
23.0,Recipe driven approach,203.8,297.85,6.5027,10.887,100,1.7226,0.19166,75688,80,32.77
23.0,Recipe driven approach,204.0,297.96,6.5035,10.896,100,1.7228,0.19168,75757,80,32.781
23.0,Recipe driven approach,204.2,297.87,6.5011,10.885,100,1.7229,0.19171,75826,80,32.793
23.0,Recipe driven approach,204.4,298.1,6.4994,10.907,100,1.723,0.19178,75895,80,32.804
23.0,Recipe driven approach,204.6,297.98,6.4965,10.905,100,1.7231,0.19173,75963,80,32.815
23.0,Recipe driven approach,204.8,297.86,6.4948,10.929,100,1.7232,0.19182,76033,80,32.826
23.0,Recipe driven approach,205.0,297.97,6.4931,10.945,100,1.7234,0.19189,76103,80,32.837
23.0,Recipe driven approach,205.2,297.88,6.4957,11.009,100,1.7235,0.19203,76173,80,32.847
23.0,Recipe driven approach,205.4,298.12,6.5019,11.051,100,1.7236,0.19209,76244,80,32.855
23.0,Recipe driven approach,205.6,297.99,6.5064,11.051,100,1.7237,0.19216,76315,80,32.864
23.0,Recipe driven approach,205.8,297.88,6.5105,11.018,100,1.7238,0.19205,76385,80,32.874
23.0,Recipe driven approach,206.0,298.0,6.5134,11.026,100,1.7238,0.19205,76455,80,32.884
23.0,Recipe driven approach,206.2,297.9,6.5125,10.98,100,1.7239,0.19188,76524,80,32.895
23.0,Recipe driven approach,206.4,298.13,6.5065,10.95,100,1.724,0.19186,76592,80,32.907
23.0,Recipe driven approach,206.6,298.01,6.4976,10.919,100,1.7241,0.19175,76659,80,32.92
23.0,Recipe driven approach,206.8,297.89,6.4904,10.959,100,1.7242,0.1918,76727,80,32.932
23.0,Recipe driven approach,207.0,298.0,6.487,11.013,100,1.7243,0.19188,76796,80,32.942
23.0,Recipe driven approach,207.2,297.9,6.4883,11.005,100,1.7244,0.1918,76865,80,32.953
23.0,Recipe driven approach,207.4,298.12,6.4942,11.036,100,1.7245,0.19178,76936,80,32.964
23.0,Recipe driven approach,207.6,297.99,6.5024,11.046,100,1.7246,0.19178,77007,80,32.974
23.0,Recipe driven approach,207.8,297.88,6.5097,11.069,100,1.7247,0.19189,77079,80,32.984
23.0,Recipe driven approach,208.0,297.97,6.5124,11.042,100,1.7248,0.19178,77149,80,32.995
23.0,Recipe driven approach,208.2,297.88,6.5089,11.008,100,1.7249,0.1917,77219,80,33.006
23.0,Recipe driven approach,208.4,298.08,6.5047,10.983,100,1.725,0.19146,77288,80,33.017
23.0,Recipe driven approach,208.6,297.97,6.5007,10.964,100,1.7251,0.19127,77357,80,33.029
23.0,Recipe driven approach,208.8,297.87,6.4978,10.981,100,1.7252,0.19129,77425,80,33.04
23.0,Recipe driven approach,209.0,297.96,6.4986,10.99,100,1.7253,0.19123,77494,80,33.051
23.0,Recipe driven approach,209.2,297.88,6.4984,10.988,100,1.7254,0.19115,77564,80,33.062
23.0,Recipe driven approach,209.4,298.07,6.5016,11.001,100,1.7254,0.19115,77633,80,33.073
23.0,Recipe driven approach,209.6,297.95,6.5032,11.001,100,1.7255,0.19111,77703,80,33.084
23.0,Recipe driven approach,209.8,297.85,6.5038,11.017,100,1.7256,0.19106,77772,80,33.094
23.0,Recipe driven approach,210.0,297.94,6.5035,11.012,100,1.7257,0.19109,77841,80,33.105
23.0,Recipe driven approach,210.2,297.86,6.5293,11.006,100,1.7161,0.19113,77218,80,33.116
23.0,Recipe driven approach,210.4,297.97,6.5416,10.913,100,1.7016,0.19111,76593,80,33.128
23.0,Recipe driven approach,210.6,297.89,6.5355,10.803,100,1.6867,0.19096,75965,80,33.143
23.0,Recipe driven approach,210.8,298.07,6.5142,10.74,100,1.6718,0.19096,75334,80,33.159
23.0,Recipe driven approach,211.0,297.96,6.4887,10.738,100,1.6569,0.19105,74702,80,33.175
23.0,Recipe driven approach,211.2,297.86,6.47,10.748,100,1.6421,0.19114,74071,80,33.19
23.0,Recipe driven approach,211.4,297.94,6.4644,10.812,100,1.6272,0.19145,73443,80,33.205
23.0,Recipe driven approach,211.6,297.87,6.4732,10.887,100,1.6124,0.19172,72817,80,33.218
23.0,Recipe driven approach,211.8,297.98,6.4953,10.997,100,1.5976,0.19208,72194,80,33.229
23.0,Recipe driven approach,212.0,297.9,6.5179,10.995,100,1.5828,0.19226,71572,80,33.24
23.0,Recipe driven approach,212.2,298.09,6.5087,11.011,100,1.578,0.19236,71640,80,33.251
23.0,Recipe driven approach,212.4,297.99,6.4971,11.031,100,1.5778,0.19245,71707,80,33.262
23.0,Recipe driven approach,212.6,297.89,6.4881,11.056,100,1.5779,0.1925,71775,80,33.273
23.0,Recipe driven approach,212.8,297.98,6.4842,11.085,100,1.5781,0.1926,71844,80,33.283
23.0,Recipe driven approach,213.0,297.89,6.4872,11.158,100,1.5783,0.1928,71914,80,33.292
23.0,Recipe driven approach,213.2,298.1,6.4952,11.225,100,1.5784,0.19301,71986,80,33.3
23.0,Recipe driven approach,213.4,297.99,6.503,11.224,100,1.5785,0.19298,72058,80,33.308
23.0,Recipe driven approach,213.6,297.89,6.5109,11.251,100,1.5786,0.19306,72129,80,33.316
23.0,Recipe driven approach,213.8,297.99,6.5147,11.224,100,1.5788,0.19299,72200,80,33.324
23.0,Recipe driven approach,214.0,297.9,6.5114,11.179,100,1.5789,0.19294,72270,80,33.334
23.0,Recipe driven approach,214.2,298.11,6.503,11.132,100,1.5791,0.19281,72339,80,33.344
23.0,Recipe driven approach,214.4,298.0,6.4931,11.153,100,1.5793,0.19286,72408,80,33.354
23.0,Recipe driven approach,214.6,297.89,6.4854,11.188,100,1.5794,0.19294,72478,80,33.363
23.0,Recipe driven approach,214.8,298.0,6.4826,11.23,100,1.5796,0.19291,72549,80,33.372
23.0,Recipe driven approach,215.0,297.91,6.4864,11.275,100,1.5797,0.19305,72621,80,33.379
23.0,Recipe driven approach,215.2,298.12,6.4912,11.279,100,1.5799,0.19307,72695,80,33.387
23.0,Recipe driven approach,215.4,298.02,6.5002,11.327,100,1.5801,0.19321,72769,80,33.394
23.0,Recipe driven approach,215.6,297.91,6.5103,11.307,100,1.5803,0.19305,72843,80,33.401
23.0,Recipe driven approach,215.8,298.02,6.5157,11.269,100,1.5805,0.19291,72917,80,33.408
23.0,Recipe driven approach,216.0,297.93,6.5195,11.274,100,1.5806,0.1929,72990,80,33.416
23.0,Recipe driven approach,216.2,298.16,6.5168,11.227,100,1.5808,0.19275,73061,80,33.424
23.0,Recipe driven approach,216.4,298.05,6.5114,11.231,100,1.581,0.19277,73130,80,33.432
23.0,Recipe driven approach,216.6,297.93,6.5008,11.179,100,1.5812,0.19263,73199,80,33.442
23.0,Recipe driven approach,216.8,298.04,6.4899,11.173,100,1.5813,0.19259,73269,80,33.451
23.0,Recipe driven approach,217.0,297.95,6.4823,11.221,100,1.5815,0.19268,73338,80,33.46
23.0,Recipe driven approach,217.2,298.16,6.4849,11.243,100,1.5817,0.19274,73410,80,33.468
23.0,Recipe driven approach,217.4,298.05,6.4895,11.273,100,1.5819,0.19277,73483,80,33.475
23.0,Recipe driven approach,217.6,297.94,6.4962,11.289,100,1.5822,0.19278,73556,80,33.482
23.0,Recipe driven approach,217.8,298.04,6.5032,11.276,100,1.5824,0.19265,73630,80,33.489
23.0,Recipe driven approach,218.0,297.95,6.5085,11.238,100,1.5827,0.19245,73704,80,33.497
23.0,Recipe driven approach,218.2,298.14,6.5122,11.237,100,1.5829,0.19231,73778,80,33.504
23.0,Recipe driven approach,218.4,298.03,6.5128,11.238,100,1.5831,0.19228,73850,80,33.511
23.0,Recipe driven approach,218.6,297.93,6.5118,11.273,100,1.5833,0.19242,73922,80,33.518
23.0,Recipe driven approach,218.8,298.01,6.5134,11.296,100,1.5835,0.19241,73992,80,33.525
23.0,Recipe driven approach,219.0,297.92,6.5107,11.244,100,1.5836,0.19224,74062,80,33.532
23.0,Recipe driven approach,219.2,298.1,6.5045,11.222,100,1.5838,0.19213,74131,80,33.539
23.0,Recipe driven approach,219.4,298.0,6.4957,11.221,100,1.584,0.19217,74200,80,33.546
23.0,Recipe driven approach,219.6,297.9,6.4894,11.221,100,1.5842,0.19218,74269,80,33.554
23.0,Recipe driven approach,219.8,297.97,6.4878,11.276,100,1.5843,0.19233,74339,80,33.561
23.0,Recipe driven approach,220.0,297.89,6.4923,11.32,100,1.5845,0.19241,74410,80,33.567
23.0,Recipe driven approach,220.2,298.06,6.4998,11.357,100,1.5847,0.1925,74482,80,33.573
23.0,Recipe driven approach,220.4,297.97,6.5041,11.334,100,1.5848,0.19245,74554,80,33.579
23.0,Recipe driven approach,220.6,297.88,6.5067,11.301,100,1.585,0.19224,74626,80,33.585
23.0,Recipe driven approach,220.8,297.95,6.5067,11.286,100,1.5852,0.19226,74697,80,33.592
23.0,Recipe driven approach,221.0,297.88,6.5028,11.291,100,1.5854,0.19229,74768,80,33.599
23.0,Recipe driven approach,221.2,297.97,6.4983,11.279,100,1.5856,0.19221,74839,80,33.607
23.0,Recipe driven approach,221.4,297.9,6.494,11.268,100,1.5859,0.19223,74910,80,33.614
23.0,Recipe driven approach,221.6,298.06,6.4924,11.288,100,1.5861,0.19224,74982,80,33.622
23.0,Recipe driven approach,221.8,297.97,6.4911,11.299,100,1.5863,0.19222,75054,80,33.629
23.0,Recipe driven approach,222.0,297.87,6.4947,11.327,100,1.5866,0.19222,75127,80,33.636
23.0,Recipe driven approach,222.2,297.94,6.4992,11.36,100,1.5868,0.19225,75201,80,33.642
23.0,Recipe driven approach,222.4,297.87,6.5046,11.369,100,1.587,0.19223,75274,80,33.648
23.0,Recipe driven approach,222.6,297.96,6.5095,11.391,100,1.5872,0.19229,75348,80,33.654
23.0,Recipe driven approach,222.8,297.89,6.5128,11.394,100,1.5874,0.1923,75421,80,33.66
23.0,Recipe driven approach,223.0,298.05,6.5118,11.35,100,1.5876,0.19223,75493,80,33.667
23.0,Recipe driven approach,223.2,297.97,6.508,11.312,100,1.5878,0.1921,75564,80,33.674
23.0,Recipe driven approach,223.4,297.88,6.5028,11.317,100,1.588,0.19207,75634,80,33.681
23.0,Recipe driven approach,223.6,297.96,6.4991,11.32,100,1.5882,0.19204,75705,80,33.688
23.0,Recipe driven approach,223.8,297.88,6.4957,11.354,100,1.5884,0.19217,75775,80,33.694
23.0,Recipe driven approach,224.0,298.05,6.493,11.348,100,1.5886,0.19212,75846,80,33.701
23.0,Recipe driven approach,224.2,297.95,6.4949,11.367,100,1.5888,0.19216,75918,80,33.707
23.0,Recipe driven approach,224.4,297.86,6.498,11.362,100,1.589,0.19216,75990,80,33.713
23.0,Recipe driven approach,224.6,297.94,6.5011,11.379,100,1.5893,0.19209,76063,80,33.719
23.0,Recipe driven approach,224.8,297.87,6.5054,11.412,100,1.5895,0.19217,76135,80,33.724
23.0,Recipe driven approach,225.0,297.97,6.5089,11.41,100,1.5897,0.19217,76207,80,33.73
23.0,Recipe driven approach,225.2,297.9,6.5103,11.433,100,1.5898,0.1922,76279,80,33.735
23.0,Recipe driven approach,225.4,298.06,6.5084,11.433,100,1.59,0.19218,76350,80,33.741
23.0,Recipe driven approach,225.6,297.97,6.5062,11.446,100,1.5901,0.19227,76420,80,33.746
23.0,Recipe driven approach,225.8,297.88,6.5002,11.426,100,1.5903,0.19227,76490,80,33.752
23.0,Recipe driven approach,226.0,297.95,6.495,11.424,100,1.5904,0.19226,76560,80,33.759
23.0,Recipe driven approach,226.2,297.87,6.4928,11.437,100,1.5906,0.19231,76630,80,33.764
23.0,Recipe driven approach,226.4,298.03,6.4951,11.471,100,1.5908,0.19235,76701,80,33.77
23.0,Recipe driven approach,226.6,297.94,6.4979,11.482,100,1.5909,0.19243,76773,80,33.775
23.0,Recipe driven approach,226.8,298.19,6.5031,11.472,100,1.5911,0.1924,76844,80,33.78
23.0,Recipe driven approach,227.0,298.08,6.5039,11.442,100,1.5913,0.19223,76916,80,33.786
23.0,Recipe driven approach,227.2,297.97,6.5042,11.413,100,1.5916,0.19216,76987,80,33.793
23.0,Recipe driven approach,227.4,297.87,6.5043,11.423,100,1.5918,0.1922,77059,80,33.799
23.0,Recipe driven approach,227.6,297.94,6.5046,11.417,100,1.592,0.1921,77130,80,33.806
23.0,Recipe driven approach,227.8,297.86,6.5018,11.413,100,1.5923,0.19211,77200,80,33.813
23.0,Recipe driven approach,228.0,297.96,6.497,11.382,100,1.5925,0.19199,77271,80,33.821
23.0,Recipe driven approach,228.2,297.88,6.4948,11.397,100,1.5928,0.19194,77342,80,33.827
23.0,Recipe driven approach,228.4,298.04,6.4933,11.424,100,1.593,0.19202,77414,80,33.834
23.0,Recipe driven approach,228.6,297.96,6.4957,11.482,100,1.5932,0.19228,77486,80,33.84
23.0,Recipe driven approach,228.8,297.87,6.5001,11.53,100,1.5935,0.19241,77558,80,33.845
23.0,Recipe driven approach,229.0,297.94,6.5038,11.535,100,1.5937,0.19248,77631,80,33.85
23.0,Recipe driven approach,229.2,297.87,6.5057,11.533,100,1.5939,0.19245,77703,80,33.856
23.0,Recipe driven approach,229.4,297.96,6.5066,11.537,100,1.5941,0.19243,77776,80,33.861
23.0,Recipe driven approach,229.6,297.89,6.5055,11.526,100,1.5943,0.19232,77847,80,33.866
23.0,Recipe driven approach,229.8,298.04,6.5038,11.501,100,1.5945,0.19229,77919,80,33.871
23.0,Recipe driven approach,230.0,297.95,6.5,11.525,100,1.5947,0.19235,77990,80,33.877
23.0,Recipe driven approach,230.2,297.87,6.5217,11.497,100,1.5861,0.19233,77369,80,33.882
23.0,Recipe driven approach,230.4,297.93,6.5372,11.48,100,1.5729,0.19244,76747,80,33.888
23.0,Recipe driven approach,230.6,297.86,6.54,11.383,100,1.5593,0.19242,76122,80,33.895
23.0,Recipe driven approach,230.8,297.96,6.5301,11.327,100,1.5457,0.1925,75493,80,33.904
23.0,Recipe driven approach,231.0,297.88,6.5097,11.26,100,1.5322,0.19253,74863,80,33.914
23.0,Recipe driven approach,231.2,298.05,6.4878,11.241,100,1.5187,0.1925,74232,80,33.924
23.0,Recipe driven approach,231.4,297.96,6.4714,11.231,100,1.5052,0.19266,73602,80,33.933
23.0,Recipe driven approach,231.6,297.86,6.4654,11.294,100,1.4917,0.19284,72975,80,33.941
23.0,Recipe driven approach,231.8,297.94,6.4702,11.346,100,1.4783,0.19309,72350,80,33.947
23.0,Recipe driven approach,232.0,297.87,6.4856,11.375,100,1.465,0.19321,71728,80,33.951
23.0,Recipe driven approach,232.2,297.98,6.4793,11.374,100,1.4608,0.19325,71799,80,33.954
23.0,Recipe driven approach,232.4,297.89,6.4781,11.416,100,1.4611,0.19332,71872,80,33.956
23.0,Recipe driven approach,232.6,298.1,6.4813,11.477,100,1.4616,0.19344,71947,80,33.957
23.0,Recipe driven approach,232.8,297.99,6.4874,11.549,100,1.4621,0.19358,72024,80,33.958
23.0,Recipe driven approach,233.0,297.88,6.4964,11.611,100,1.4626,0.19372,72102,80,33.958
23.0,Recipe driven approach,233.2,297.98,6.5032,11.641,100,1.4631,0.19381,72180,80,33.958
23.0,Recipe driven approach,233.4,297.88,6.5086,11.643,100,1.4635,0.19383,72257,80,33.958
23.0,Recipe driven approach,233.6,298.1,6.5143,11.657,100,1.4639,0.19374,72335,80,33.959
23.0,Recipe driven approach,233.8,297.98,6.5158,11.614,100,1.4643,0.19362,72411,80,33.959
23.0,Recipe driven approach,234.0,297.87,6.5159,11.571,100,1.4647,0.19348,72486,80,33.961
23.0,Recipe driven approach,234.2,297.98,6.5125,11.559,100,1.4652,0.19349,72560,80,33.962
23.0,Recipe driven approach,234.4,297.89,6.5062,11.583,100,1.4656,0.19356,72633,80,33.965
23.0,Recipe driven approach,234.6,298.12,6.5003,11.604,100,1.4659,0.19367,72705,80,33.967
23.0,Recipe driven approach,234.8,297.99,6.497,11.593,100,1.4663,0.19367,72778,80,33.969
23.0,Recipe driven approach,235.0,297.88,6.4967,11.614,100,1.4667,0.19379,72851,80,33.971
23.0,Recipe driven approach,235.2,297.99,6.4993,11.653,100,1.4671,0.1939,72924,80,33.972
23.0,Recipe driven approach,235.4,297.9,6.5025,11.669,100,1.4675,0.19398,72998,80,33.973
23.0,Recipe driven approach,235.6,298.14,6.5061,11.694,100,1.4679,0.19413,73071,80,33.973
23.0,Recipe driven approach,235.8,298.01,6.5091,11.694,100,1.4683,0.19413,73144,80,33.974
23.0,Recipe driven approach,236.0,297.9,6.51,11.677,100,1.4686,0.19411,73216,80,33.976
23.0,Recipe driven approach,236.2,298.01,6.5109,11.691,100,1.469,0.19418,73288,80,33.977
23.0,Recipe driven approach,236.4,297.91,6.5101,11.651,100,1.4694,0.19408,73359,80,33.979
23.0,Recipe driven approach,236.6,298.16,6.5085,11.685,100,1.4697,0.19405,73429,80,33.98
23.0,Recipe driven approach,236.8,298.03,6.5035,11.663,100,1.47,0.19395,73499,80,33.981
23.0,Recipe driven approach,237.0,297.91,6.4982,11.645,100,1.4704,0.19388,73568,80,33.983
23.0,Recipe driven approach,237.2,298.02,6.4967,11.659,100,1.4707,0.19387,73638,80,33.985
23.0,Recipe driven approach,237.4,297.92,6.4945,11.64,100,1.4711,0.19376,73708,80,33.986
23.0,Recipe driven approach,237.6,298.16,6.4967,11.679,100,1.4714,0.19386,73778,80,33.988
23.0,Recipe driven approach,237.8,298.03,6.5011,11.71,100,1.4718,0.19386,73849,80,33.988
23.0,Recipe driven approach,238.0,297.91,6.5044,11.693,100,1.4721,0.19377,73920,80,33.989
23.0,Recipe driven approach,238.2,298.02,6.5075,11.713,100,1.4724,0.19374,73991,80,33.989
23.0,Recipe driven approach,238.4,297.92,6.5077,11.718,100,1.4727,0.1937,74061,80,33.989
23.0,Recipe driven approach,238.6,298.14,6.5066,11.738,100,1.473,0.19374,74130,80,33.989
23.0,Recipe driven approach,238.8,298.01,6.5054,11.755,100,1.4732,0.19372,74200,80,33.989
23.0,Recipe driven approach,239.0,297.89,6.501,11.752,100,1.4734,0.19373,74268,80,33.989
23.0,Recipe driven approach,239.2,297.99,6.4985,11.777,100,1.4736,0.19384,74337,80,33.989
23.0,Recipe driven approach,239.4,297.89,6.4969,11.789,100,1.4739,0.19387,74406,80,33.988
23.0,Recipe driven approach,239.6,298.1,6.4985,11.82,100,1.474,0.19387,74476,80,33.988
23.0,Recipe driven approach,239.8,297.98,6.5025,11.822,100,1.4742,0.19384,74546,80,33.987
23.0,Recipe driven approach,240.0,297.87,6.5065,11.8,100,1.4744,0.19371,74615,80,33.986
23.0,Recipe driven approach,240.2,297.96,6.5074,11.805,100,1.4746,0.19369,74684,80,33.986
23.0,Recipe driven approach,240.4,297.87,6.5059,11.751,100,1.4748,0.19358,74753,80,33.986
23.0,Recipe driven approach,240.6,298.07,6.5024,11.757,100,1.475,0.19346,74821,80,33.987
23.0,Recipe driven approach,240.8,297.96,6.4976,11.709,100,1.4753,0.19342,74889,80,33.987
23.0,Recipe driven approach,241.0,297.85,6.4934,11.75,100,1.4755,0.19358,74958,80,33.988
23.0,Recipe driven approach,241.2,297.94,6.4936,11.812,100,1.4758,0.19375,75027,80,33.988
23.0,Recipe driven approach,241.4,297.87,6.4967,11.82,100,1.476,0.19377,75097,80,33.987
23.0,Recipe driven approach,241.6,297.98,6.5007,11.802,100,1.4762,0.19364,75167,80,33.987
23.0,Recipe driven approach,241.8,297.9,6.5058,11.824,100,1.4764,0.19364,75237,80,33.987
23.0,Recipe driven approach,242.0,298.09,6.5092,11.815,100,1.4767,0.19361,75307,80,33.987
23.0,Recipe driven approach,242.2,297.97,6.5097,11.784,100,1.4769,0.19349,75376,80,33.987
23.0,Recipe driven approach,242.4,297.87,6.5094,11.783,100,1.4771,0.19334,75444,80,33.987
23.0,Recipe driven approach,242.6,297.94,6.5044,11.78,100,1.4773,0.1933,75512,80,33.987
23.0,Recipe driven approach,242.8,297.87,6.4993,11.753,100,1.4775,0.19316,75580,80,33.987
23.0,Recipe driven approach,243.0,297.97,6.4944,11.761,100,1.4777,0.19313,75647,80,33.988
23.0,Recipe driven approach,243.2,297.88,6.4913,11.789,100,1.4779,0.19321,75716,80,33.988
23.0,Recipe driven approach,243.4,298.06,6.493,11.82,100,1.4781,0.19321,75785,80,33.987
23.0,Recipe driven approach,243.6,297.94,6.4982,11.836,100,1.4783,0.19328,75854,80,33.986
23.0,Recipe driven approach,243.8,298.24,6.5046,11.829,100,1.4785,0.19327,75924,80,33.986
23.0,Recipe driven approach,244.0,298.08,6.5101,11.831,100,1.4787,0.19339,75994,80,33.985
23.0,Recipe driven approach,244.2,297.93,6.5121,11.772,100,1.479,0.19325,76063,80,33.986
23.0,Recipe driven approach,244.4,298.06,6.5092,11.755,100,1.4793,0.1931,76131,80,33.987
23.0,Recipe driven approach,244.6,297.94,6.5024,11.712,100,1.4795,0.19295,76198,80,33.988
23.0,Recipe driven approach,244.8,298.19,6.4973,11.72,100,1.4798,0.19289,76266,80,33.989
23.0,Recipe driven approach,245.0,298.04,6.4932,11.735,100,1.4801,0.19295,76333,80,33.99
23.0,Recipe driven approach,245.2,297.91,6.4916,11.739,100,1.4804,0.19297,76402,80,33.99
23.0,Recipe driven approach,245.4,298.01,6.4962,11.787,100,1.4807,0.19301,76471,80,33.99
23.0,Recipe driven approach,245.6,297.91,6.5041,11.834,100,1.4809,0.19307,76540,80,33.989
23.0,Recipe driven approach,245.8,298.12,6.5097,11.8,100,1.4812,0.19294,76609,80,33.989
23.0,Recipe driven approach,246.0,297.99,6.5128,11.773,100,1.4814,0.19284,76678,80,33.989
23.0,Recipe driven approach,246.2,297.88,6.5112,11.748,100,1.4817,0.19268,76746,80,33.989
23.0,Recipe driven approach,246.4,297.96,6.506,11.725,100,1.4819,0.19255,76812,80,33.989
23.0,Recipe driven approach,246.6,297.87,6.498,11.673,100,1.4822,0.19232,76879,80,33.99
23.0,Recipe driven approach,246.8,298.05,6.4927,11.67,100,1.4826,0.19223,76946,80,33.99
